5000    0.000639        0.078098
10000   0.001294        0.305836
15000   0.001913        0.697117
20000   0.002682        1.239828
25000   0.003351        2.048482
30000   0.004275        3.451450
35000   0.004910        3.893515
40000   0.005608        4.974115
45000   0.006399        6.299259
50000   0.007405        7.712386
55000   0.008410        9.322024
60000   0.009233        11.083281
65000   0.010104        12.999199
70000   0.011152        15.090389
75000   0.011732        17.352327
80000   0.012513        19.741034
85000   0.013035        22.288875
90000   0.014109        24.982137
95000   0.014971        27.774905
100000  0.016058        30.874892
