5000    0.052898        0.073453
10000   0.201270        0.286869
15000   0.458252        0.641741
20000   0.797894        1.169423
25000   1.246239        1.792175
30000   1.798220        2.570698
35000   2.449967        3.515928
40000   3.188103        4.572099
45000   4.029149        5.816849
50000   4.993836        7.177092
55000   6.032077        8.670630
60000   7.220514        10.447883
65000   9.076776        12.696854
70000   9.755476        14.022192
75000   11.199505       16.110027
80000   12.737664       18.325709
85000   14.423491       20.681073
90000   16.117835       23.455225
95000   17.966489       25.860101
100000  19.905752       28.671230
