5000    0.075848        0.026011
10000   0.290160        0.104557
15000   0.653338        0.232859
20000   1.147830        0.417534
25000   1.797497        0.650776
30000   2.586276        0.946746
35000   3.534071        1.273303
40000   4.595462        1.660891
45000   5.820488        2.097521
50000   7.180238        2.736811
55000   8.694019        3.135254
60000   10.347324       3.724504
65000   12.124603       4.372826
70000   14.059309       5.080875
75000   16.138921       5.815949
80000   18.384947       6.613190
85000   20.764486       7.484857
90000   23.242980       8.373332
95000   25.920545       9.349724
100000  28.720876       10.514137
